Entity,Date,Stringency Index (OxBSG)
Swaziland,2020-01-01,0.0
Swaziland,2020-01-02,0.0
Swaziland,2020-01-03,0.0
Swaziland,2020-01-04,0.0
Swaziland,2020-01-05,0.0
Swaziland,2020-01-06,0.0
Swaziland,2020-01-07,0.0
Swaziland,2020-01-08,0.0
Swaziland,2020-01-09,0.0
Swaziland,2020-01-10,0.0
Swaziland,2020-01-11,0.0
Swaziland,2020-01-12,0.0
Swaziland,2020-01-13,0.0
Swaziland,2020-01-14,0.0
Swaziland,2020-01-15,0.0
Swaziland,2020-01-16,0.0
Swaziland,2020-01-17,0.0
Swaziland,2020-01-18,0.0
Swaziland,2020-01-19,0.0
Swaziland,2020-01-20,0.0
Swaziland,2020-01-21,0.0
Swaziland,2020-01-22,0.0
Swaziland,2020-01-23,0.0
Swaziland,2020-01-24,0.0
Swaziland,2020-01-25,0.0
Swaziland,2020-01-26,0.0
Swaziland,2020-01-27,0.0
Swaziland,2020-01-28,0.0
Swaziland,2020-01-29,2.78
Swaziland,2020-01-30,2.78
Swaziland,2020-01-31,2.78
Swaziland,2020-02-01,2.78
Swaziland,2020-02-02,2.78
Swaziland,2020-02-03,2.78
Swaziland,2020-02-04,2.78
Swaziland,2020-02-05,2.78
Swaziland,2020-02-06,2.78
Swaziland,2020-02-07,2.78
Swaziland,2020-02-08,2.78
Swaziland,2020-02-09,2.78
Swaziland,2020-02-10,2.78
Swaziland,2020-02-11,2.78
Swaziland,2020-02-12,2.78
Swaziland,2020-02-13,2.78
Swaziland,2020-02-14,2.78
Swaziland,2020-02-15,8.33
Swaziland,2020-02-16,8.33
Swaziland,2020-02-17,8.33
Swaziland,2020-02-18,8.33
Swaziland,2020-02-19,8.33
Swaziland,2020-02-20,8.33
Swaziland,2020-02-21,8.33
Swaziland,2020-02-22,8.33
Swaziland,2020-02-23,8.33
Swaziland,2020-02-24,8.33
Swaziland,2020-02-25,8.33
Swaziland,2020-02-26,8.33
Swaziland,2020-02-27,8.33
Swaziland,2020-02-28,8.33
Swaziland,2020-02-29,13.89
Swaziland,2020-03-01,13.89
Swaziland,2020-03-02,13.89
Swaziland,2020-03-03,13.89
Swaziland,2020-03-04,13.89
Swaziland,2020-03-05,13.89
Swaziland,2020-03-06,13.89
Swaziland,2020-03-07,13.89
Swaziland,2020-03-08,13.89
Swaziland,2020-03-09,13.89
Swaziland,2020-03-10,13.89
Swaziland,2020-03-11,13.89
Swaziland,2020-03-12,13.89
Swaziland,2020-03-13,13.89
Swaziland,2020-03-14,19.44
Swaziland,2020-03-15,19.44
