Entity,Date,Stringency Index (OxBSG)
Switzerland,2020-01-01,0.0
Switzerland,2020-01-02,0.0
Switzerland,2020-01-03,0.0
Switzerland,2020-01-04,0.0
Switzerland,2020-01-05,0.0
Switzerland,2020-01-06,0.0
Switzerland,2020-01-07,0.0
Switzerland,2020-01-08,0.0
Switzerland,2020-01-09,0.0
Switzerland,2020-01-10,0.0
Switzerland,2020-01-11,0.0
Switzerland,2020-01-12,0.0
Switzerland,2020-01-13,0.0
Switzerland,2020-01-14,0.0
Switzerland,2020-01-15,0.0
Switzerland,2020-01-16,0.0
Switzerland,2020-01-17,0.0
Switzerland,2020-01-18,0.0
Switzerland,2020-01-19,0.0
Switzerland,2020-01-20,0.0
Switzerland,2020-01-21,0.0
Switzerland,2020-01-22,0.0
Switzerland,2020-01-23,0.0
Switzerland,2020-01-24,0.0
Switzerland,2020-01-25,0.0
Switzerland,2020-01-26,0.0
Switzerland,2020-01-27,0.0
Switzerland,2020-01-28,0.0
Switzerland,2020-01-29,0.0
Switzerland,2020-01-30,0.0
Switzerland,2020-01-31,0.0
Switzerland,2020-02-01,0.0
Switzerland,2020-02-02,0.0
Switzerland,2020-02-03,0.0
Switzerland,2020-02-04,0.0
Switzerland,2020-02-05,0.0
Switzerland,2020-02-06,0.0
Switzerland,2020-02-07,0.0
Switzerland,2020-02-08,0.0
Switzerland,2020-02-09,0.0
Switzerland,2020-02-10,0.0
Switzerland,2020-02-11,0.0
Switzerland,2020-02-12,0.0
Switzerland,2020-02-13,0.0
Switzerland,2020-02-14,0.0
Switzerland,2020-02-15,0.0
Switzerland,2020-02-16,0.0
Switzerland,2020-02-17,0.0
Switzerland,2020-02-18,0.0
Switzerland,2020-02-19,0.0
Switzerland,2020-02-20,0.0
Switzerland,2020-02-21,0.0
Switzerland,2020-02-22,0.0
Switzerland,2020-02-23,0.0
Switzerland,2020-02-24,0.0
Switzerland,2020-02-25,8.33
Switzerland,2020-02-26,8.33
Switzerland,2020-02-27,13.89
Switzerland,2020-02-28,19.44
Switzerland,2020-02-29,19.44
Switzerland,2020-03-01,19.44
Switzerland,2020-03-02,19.44
Switzerland,2020-03-03,25.0
Switzerland,2020-03-04,25.0
Switzerland,2020-03-05,25.0
Switzerland,2020-03-06,25.0
Switzerland,2020-03-07,25.0
Switzerland,2020-03-08,25.0
Switzerland,2020-03-09,25.0
Switzerland,2020-03-10,25.0
Switzerland,2020-03-11,25.0
Switzerland,2020-03-12,25.0
Switzerland,2020-03-13,44.44
Switzerland,2020-03-14,44.44
Switzerland,2020-03-15,44.44
Switzerland,2020-03-16,44.44
Switzerland,2020-03-17,73.15
Switzerland,2020-03-18,73.15
Switzerland,2020-03-19,73.15
Switzerland,2020-03-20,73.15
Switzerland,2020-03-21,73.15
Switzerland,2020-03-22,73.15
Switzerland,2020-03-23,73.15
Switzerland,2020-03-24,73.15
Switzerland,2020-03-25,73.15
Switzerland,2020-03-26,73.15
Switzerland,2020-03-27,73.15
Switzerland,2020-03-28,73.15
Switzerland,2020-03-29,73.15
Switzerland,2020-03-30,73.15
Switzerland,2020-03-31,73.15
Switzerland,2020-04-01,73.15
Switzerland,2020-04-02,73.15
Switzerland,2020-04-03,73.15
Switzerland,2020-04-04,73.15
Switzerland,2020-04-05,73.15
Switzerland,2020-04-06,73.15
Switzerland,2020-04-07,73.15
Switzerland,2020-04-08,73.15
Switzerland,2020-04-09,73.15
Switzerland,2020-04-10,73.15
Switzerland,2020-04-11,73.15
Switzerland,2020-04-12,73.15
Switzerland,2020-04-13,73.15
Switzerland,2020-04-14,73.15
Switzerland,2020-04-15,73.15
Switzerland,2020-04-16,73.15
Switzerland,2020-04-17,73.15
Switzerland,2020-04-18,73.15
Switzerland,2020-04-19,73.15
Switzerland,2020-04-20,73.15
Switzerland,2020-04-21,73.15
Switzerland,2020-04-22,73.15
Switzerland,2020-04-23,73.15
Switzerland,2020-04-24,73.15
Switzerland,2020-04-25,73.15
Switzerland,2020-04-26,73.15
Switzerland,2020-04-27,69.44
Switzerland,2020-04-28,69.44
Switzerland,2020-04-29,69.44
Switzerland,2020-04-30,69.44
Switzerland,2020-05-01,69.44
Switzerland,2020-05-02,69.44
Switzerland,2020-05-03,69.44
