Entity,Date,Stringency Index (OxBSG)
Croatia,2020-01-01,0.0
Croatia,2020-01-02,0.0
Croatia,2020-01-03,0.0
Croatia,2020-01-04,0.0
Croatia,2020-01-05,0.0
Croatia,2020-01-06,0.0
Croatia,2020-01-07,0.0
Croatia,2020-01-08,0.0
Croatia,2020-01-09,0.0
Croatia,2020-01-10,0.0
Croatia,2020-01-11,0.0
Croatia,2020-01-12,0.0
Croatia,2020-01-13,0.0
Croatia,2020-01-14,0.0
Croatia,2020-01-15,0.0
Croatia,2020-01-16,0.0
Croatia,2020-01-17,0.0
Croatia,2020-01-18,0.0
Croatia,2020-01-19,0.0
Croatia,2020-01-20,0.0
Croatia,2020-01-21,0.0
Croatia,2020-01-22,0.0
Croatia,2020-01-23,0.0
Croatia,2020-01-24,0.0
Croatia,2020-01-25,0.0
Croatia,2020-01-26,0.0
Croatia,2020-01-27,5.56
Croatia,2020-01-28,5.56
Croatia,2020-01-29,5.56
Croatia,2020-01-30,5.56
Croatia,2020-01-31,11.11
Croatia,2020-02-01,11.11
Croatia,2020-02-02,11.11
Croatia,2020-02-03,11.11
Croatia,2020-02-04,13.89
Croatia,2020-02-05,13.89
Croatia,2020-02-06,13.89
Croatia,2020-02-07,13.89
Croatia,2020-02-08,13.89
Croatia,2020-02-09,13.89
Croatia,2020-02-10,13.89
Croatia,2020-02-11,13.89
Croatia,2020-02-12,13.89
Croatia,2020-02-13,13.89
Croatia,2020-02-14,13.89
Croatia,2020-02-15,13.89
Croatia,2020-02-16,13.89
Croatia,2020-02-17,13.89
Croatia,2020-02-18,13.89
Croatia,2020-02-19,13.89
Croatia,2020-02-20,13.89
Croatia,2020-02-21,13.89
Croatia,2020-02-22,13.89
Croatia,2020-02-23,13.89
Croatia,2020-02-24,13.89
Croatia,2020-02-25,13.89
Croatia,2020-02-26,13.89
Croatia,2020-02-27,13.89
Croatia,2020-02-28,13.89
Croatia,2020-02-29,13.89
Croatia,2020-03-01,13.89
Croatia,2020-03-02,13.89
Croatia,2020-03-03,13.89
Croatia,2020-03-04,13.89
Croatia,2020-03-05,13.89
Croatia,2020-03-06,13.89
Croatia,2020-03-07,13.89
Croatia,2020-03-08,13.89
Croatia,2020-03-09,13.89
Croatia,2020-03-10,22.22
Croatia,2020-03-11,22.22
Croatia,2020-03-12,22.22
Croatia,2020-03-13,31.48
