time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,1,0,1,0,0
2020-03-20,1,0,1,0,0
2020-03-21,2,1,2,0,0
2020-03-22,2,0,2,0,0
2020-03-23,3,1,3,0,0
2020-03-24,4,1,4,0,0
2020-03-25,5,1,5,0,0
2020-03-26,5,0,5,0,0
2020-03-27,5,0,5,0,0
2020-03-28,5,0,5,0,0
2020-03-29,5,0,5,0,0
2020-03-30,5,0,5,0,0
2020-03-31,5,0,5,0,0
2020-04-01,5,0,5,0,0
2020-04-02,7,2,7,0,0
2020-04-03,7,0,7,0,0
2020-04-04,12,5,12,0,0
2020-04-05,12,0,12,0,0
2020-04-06,14,2,14,0,0
2020-04-07,15,1,15,0,0
2020-04-08,15,0,15,0,0
2020-04-09,15,0,15,0,0
2020-04-10,16,1,16,0,0
2020-04-11,16,0,16,0,0
2020-04-12,16,0,16,0,0
2020-04-13,16,0,16,0,0
2020-04-14,16,0,16,0,0
2020-04-15,16,0,16,0,0
2020-04-16,17,1,17,0,0
2020-04-17,17,0,17,0,0
2020-04-18,17,0,17,0,0
2020-04-19,17,0,17,0,0
2020-04-20,18,1,15,0,0
2020-04-21,18,0,10,0,0
2020-04-22,18,0,10,0,0
2020-04-23,18,0,10,0,0
2020-04-24,18,0,8,0,0
2020-04-25,18,0,8,0,0
2020-04-26,18,0,6,0,0
2020-04-27,18,0,6,0,0
2020-04-28,18,0,6,0,0
2020-04-29,18,0,6,0,0
2020-04-30,18,0,6,0,0
2020-05-01,18,0,6,0,0
2020-05-02,18,0,4,0,0
2020-05-03,18,0,4,0,0
2020-05-04,18,0,4,0,0
2020-05-05,18,0,4,0,0
2020-05-06,18,0,4,0,0
2020-05-07,18,0,4,0,0
2020-05-08,18,0,4,0,0
2020-05-09,18,0,4,0,0
2020-05-10,18,0,4,0,0
2020-05-11,18,0,4,0,0
2020-05-12,18,0,4,0,0
2020-05-13,18,0,4,0,0
2020-05-14,18,0,4,0,0
2020-05-15,18,0,3,0,0
2020-05-16,18,0,3,0,0
2020-05-17,18,0,3,0,0
