time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,1,0,1,0,0
2020-03-11,1,0,1,0,0
2020-03-12,1,0,1,0,0
2020-03-13,5,4,5,0,0
2020-03-14,6,1,6,0,0
2020-03-15,18,12,18,0,0
2020-03-16,47,29,47,0,0
2020-03-17,98,51,97,1,0
2020-03-18,191,93,189,2,1
2020-03-19,359,168,355,4,2
2020-03-20,670,311,661,9,5
2020-03-21,947,277,926,21,12
2020-03-22,1236,289,1206,30,9
2020-03-23,1529,293,1492,37,7
2020-03-24,1872,343,1828,44,7
2020-03-25,2433,561,2348,59,15
2020-03-26,3629,1196,3528,75,16
2020-03-27,5698,2069,5564,92,17
2020-03-28,7402,1704,7224,108,16
2020-03-29,9217,1815,8981,131,23
2020-03-30,10827,1610,10497,168,37
2020-03-31,13531,2704,13074,214,46
2020-04-01,15679,2148,15069,277,63
2020-04-02,18135,2456,17364,356,79
2020-04-03,20921,2786,20012,425,69
2020-04-04,23934,3013,22647,501,76
2020-04-05,27069,3135,25453,574,73
2020-04-06,30217,3148,28242,649,75
2020-04-07,34109,3892,31802,725,76
2020-04-08,38226,4117,35568,812,87
2020-04-09,42282,4056,39232,908,96
2020-04-10,47029,4747,43600,1006,98
2020-04-11,52167,5138,48101,1101,95
2020-04-12,56956,4789,52312,1198,97
2020-04-13,61049,4093,55796,1296,98
2020-04-14,65111,4062,58909,1403,107
2020-04-15,69392,4281,62200,1518,115
2020-04-16,74193,4801,65461,1643,125
2020-04-17,78546,4353,68146,1769,126
2020-04-18,82329,3783,69986,1890,121
2020-04-19,86306,3977,72313,2017,127
2020-04-20,90980,4674,75410,2140,123
2020-04-21,95591,4611,78414,2259,119
2020-04-22,98674,3083,79821,2376,117
2020-04-23,101790,3116,80808,2491,115
2020-04-24,104912,3122,80575,2600,109
2020-04-25,107773,2861,79485,2706,106
2020-04-26,110130,2357,78185,2805,99
2020-04-27,112261,2131,75570,2900,95
2020-04-28,114653,2392,72852,2992,92
2020-04-29,117589,2936,70468,3081,89
2020-04-30,120204,2615,68144,3174,93
2020-05-01,122392,2188,65326,3258,84
2020-05-02,124375,1983,62780,3336,78
2020-05-03,126045,1670,59497,3397,61
2020-05-04,127659,1614,56032,3461,64
2020-05-05,129491,1832,52686,3520,59
2020-05-06,131744,2253,49958,3584,64
2020-05-07,133721,1977,47096,3641,57
