time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,1,0,1,0,0
2020-03-01,3,2,3,0,0
2020-03-02,7,4,7,0,0
2020-03-03,8,1,8,0,0
2020-03-04,8,0,8,0,0
2020-03-05,8,0,8,0,0
2020-03-06,11,3,11,0,0
2020-03-07,12,1,12,0,0
2020-03-08,15,3,15,0,0
2020-03-09,18,3,18,0,0
2020-03-10,24,6,24,0,0
2020-03-11,262,238,262,0,0
2020-03-12,262,0,262,0,0
2020-03-13,320,58,320,0,0
2020-03-14,337,17,333,0,0
2020-03-15,401,64,397,0,0
2020-03-16,439,38,435,0,0
2020-03-17,442,3,438,0,0
2020-03-18,452,10,448,0,0
2020-03-19,460,8,450,0,0
2020-03-20,470,10,460,0,0
2020-03-21,481,11,454,0,0
2020-03-22,494,13,461,0,0
2020-03-23,501,7,468,0,0
2020-03-24,526,25,485,0,0
2020-03-25,537,11,496,0,0
2020-03-26,549,12,506,0,0
2020-03-27,562,13,519,0,0
2020-03-28,590,28,544,1,1
2020-03-29,634,44,585,1,0
2020-03-30,693,59,641,1,0
2020-03-31,781,88,717,2,1
2020-04-01,835,54,762,2,0
2020-04-02,949,114,874,3,1
2020-04-03,1075,126,979,3,0
2020-04-04,1325,250,1213,3,0
2020-04-05,1604,279,1477,4,1
2020-04-06,1832,228,1697,4,0
2020-04-07,2057,225,1901,6,2
2020-04-08,2210,153,2026,6,0
2020-04-09,2376,166,2164,6,0
2020-04-10,2512,136,2279,6,0
2020-04-11,2728,216,2475,6,0
2020-04-12,2979,251,2697,7,1
2020-04-13,3231,252,2890,7,0
2020-04-14,3428,197,3048,7,0
2020-04-15,3711,283,3298,7,0
2020-04-16,4103,392,3681,7,0
2020-04-17,4663,560,4192,7,0
2020-04-18,5008,345,4490,8,1
2020-04-19,5448,440,4922,8,0
2020-04-20,6015,567,5451,9,1
2020-04-21,6533,518,5910,9,0
2020-04-22,7141,608,6442,10,1
2020-04-23,7764,623,7004,10,0
2020-04-24,8525,761,7706,10,0
2020-04-25,9358,833,8419,10,0
2020-04-26,10287,929,9265,10,0
2020-04-27,11244,957,10168,10,0
2020-04-28,11921,677,10777,10,0
2020-04-29,12564,643,11311,10,0
2020-04-30,13409,845,12027,10,0
2020-05-01,14096,687,12648,12,2
2020-05-02,14872,776,13326,12,0
2020-05-03,15551,679,13875,12,0
2020-05-04,16191,640,14369,12,0
2020-05-05,17142,951,15206,12,0
2020-05-06,17972,830,15890,12,0
2020-05-07,18890,918,16592,12,0
2020-05-08,20201,1311,17819,12,0
2020-05-09,21331,1130,18869,13,1
2020-05-10,22520,1189,19753,14,1
2020-05-11,23623,1103,20769,14,0
2020-05-12,25149,1526,22116,14,0
