time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day,new_recoveries,state
2020-03-12,28,0,28,0,0,,texas
2020-03-13,44,16,44,0,0,,texas
2020-03-14,57,13,57,0,0,,texas
2020-03-15,73,16,73,0,0,,texas
2020-03-16,85,12,85,0,0,,texas
2020-03-17,110,25,109,1,0,,texas
2020-03-18,199,89,196,3,2,,texas
2020-03-19,288,89,283,5,2,,texas
2020-03-20,401,113,392,5,0,,texas
2020-03-21,481,80,472,5,0,,texas
2020-03-22,609,128,592,6,1,,texas
2020-03-23,827,218,807,9,3,,texas
2020-03-24,1054,227,1031,12,3,,texas
2020-03-25,1189,135,1163,15,3,,texas
2020-03-26,1641,452,1609,21,6,,texas
2020-03-27,2018,377,1979,28,7,,texas
2020-03-28,2412,394,2369,32,4,,texas
2020-03-29,2913,501,2803,41,9,,texas
2020-03-30,3031,118,2880,44,3,,texas
2020-03-31,3831,800,3663,61,17,,texas
2020-04-01,4253,422,4081,65,4,,texas
2020-04-02,5045,792,4854,84,19,,texas
2020-04-03,5921,876,5565,106,22,,texas
2020-04-04,6656,735,5985,122,16,,texas
2020-04-05,7376,720,6554,147,25,,texas
2020-04-06,8471,1095,7546,167,20,,texas
2020-04-07,9363,892,8420,185,18,,texas
2020-04-08,10543,1180,9557,216,31,,texas
2020-04-09,11971,1428,10499,246,30,,texas
2020-04-10,12769,798,10909,275,29,,texas
2020-04-11,13839,1070,11926,296,21,,texas
2020-04-12,14296,457,11974,308,12,,texas
2020-04-13,14965,669,12624,327,19,,texas
2020-04-14,15738,773,12775,383,56,,texas
2020-04-15,16782,1044,13215,417,34,,texas
2020-04-16,17443,661,13316,450,33,,texas
2020-04-17,18619,1176,13940,489,39,,texas
2020-04-18,19581,962,14252,523,34,,texas
2020-04-19,20251,670,14888,557,34,,texas
2020-04-20,20783,532,15413,564,7,,texas
2020-04-21,21595,812,16199,590,26,,texas
2020-04-22,22498,903,16483,615,25,,texas
2020-04-23,23477,979,16633,644,29,,texas
2020-04-24,24292,815,15595,672,28,,texas
2020-04-25,25369,1077,14666,717,45,,texas
2020-04-26,26193,824,15475,732,15,,texas
2020-04-27,26736,543,14814,752,20,,texas
2020-04-28,27424,688,15482,772,20,,texas
2020-04-29,28886,1462,16262,838,66,,texas
2020-04-30,30015,1129,16611,897,59,,texas
2020-05-01,31520,1505,18063,950,53,,texas
2020-05-02,32826,1306,16957,978,28,,texas
2020-05-03,33715,889,17177,994,16,,texas
2020-05-04,34800,1085,17155,1024,30,,texas
2020-05-05,36068,1268,18328,1075,51,,texas
2020-05-06,37212,1144,18398,1127,52,,texas
2020-05-07,38489,1277,18629,1153,26,,texas
2020-05-08,39720,1231,18907,1209,56,,texas
2020-05-09,40676,956,15842,1245,36,,texas
2020-05-10,41982,1306,17123,1270,25,,texas
2020-05-11,42992,1010,18108,1292,22,,texas
2020-05-12,44053,1061,19049,1321,29,,texas
2020-05-13,45767,1714,20152,1364,43,,texas
2020-05-14,47098,1331,21173,1410,46,,texas
2020-05-15,49203,2105,21527,1466,56,,texas
2020-05-16,50129,926,21757,1502,36,,texas
2020-05-17,51182,1053,22088,1524,22,,texas
2020-05-18,52237,1055,22695,1534,10,,texas
2020-05-19,53273,1036,23239,1571,37,,texas
2020-05-20,54298,1025,22327,1595,24,,texas
2020-05-21,56241,1943,22790,1666,71,,texas
2020-05-22,57404,1163,23432,1695,29,,texas
2020-05-23,58315,911,24136,1712,17,,texas
2020-05-24,59030,715,24816,1721,9,,texas
2020-05-25,59584,554,22506,1729,8,,texas
2020-05-26,60687,1103,22529,1753,24,,texas
2020-05-27,62131,1444,22394,1797,44,,texas
2020-05-28,63879,1748,23150,1821,24,,texas
2020-05-29,65278,1399,23285,1856,35,,texas
2020-05-30,66873,1595,23338,1884,28,,texas
2020-05-31,68502,1629,24187,1892,8,,texas
2020-06-01,69700,1198,24455,1907,15,,texas
2020-06-02,71749,2049,25285,1947,40,,texas
2020-06-03,73297,1548,25454,1984,37,,texas
2020-06-04,75164,1867,26287,2020,36,,texas
2020-06-05,77354,2190,27438,2051,31,,texas
2020-06-06,78985,1631,28018,2072,21,,texas
2020-06-07,79976,991,28139,2079,7,,texas
2020-06-08,81550,1574,29015,2096,17,,texas
2020-06-09,83397,1847,30134,2123,27,,texas
2020-06-10,85962,2565,31336,2154,31,,texas
2020-06-11,88093,2131,33438,2182,28,,texas
2020-06-12,90393,2300,32887,2206,24,,texas
2020-06-13,92775,2382,34008,2232,26,,texas
2020-06-14,94194,1419,33613,2240,8,,texas
2020-06-15,96447,2253,35081,2262,22,,texas
2020-06-16,101067,4620,38109,2314,52,,texas
2020-06-17,104753,3686,40023,2362,48,,texas
2020-06-18,108277,3524,42058,2404,42,,texas
2020-06-19,112994,4717,45224,2439,35,,texas
2020-06-20,117452,4458,47895,2461,22,,texas
2020-06-21,120732,3280,49762,2471,10,,texas
2020-06-22,126094,5362,54431,2489,18,,texas
2020-06-23,131723,5629,58483,2526,37,,texas
2020-06-24,138197,6474,62726,2573,47,,texas
2020-06-25,144438,6241,67323,2619,46,,texas
2020-06-26,150322,5884,71384,2656,37,,texas
2020-06-27,156686,6364,75738,2700,44,,texas
2020-06-28,161227,4541,78525,2711,11,,texas
2020-06-29,168183,6956,84113,2735,24,,texas
2020-06-30,176819,8636,89200,2801,66,,texas
2020-07-01,185574,8755,94486,2852,51,,texas
2020-07-02,193802,8228,100181,2901,49,,texas
2020-07-03,202348,8546,105835,2941,40,,texas
2020-07-04,208307,5959,107905,2972,31,,texas
2020-07-05,213980,5673,110133,3003,31,,texas
2020-07-06,223785,9805,116657,3075,72,,texas
2020-07-07,234198,10413,122540,3173,98,,texas
2020-07-08,245467,11269,128869,3313,140,,texas
2020-07-09,258044,12577,136282,3436,123,,texas
2020-07-10,269213,11169,142664,3553,117,,texas
2020-07-11,278423,9210,146898,3645,92,,texas
2020-07-12,285216,6793,148893,3685,40,,texas
2020-07-13,295245,10029,155047,3779,94,,texas
2020-07-14,307346,12101,161016,3932,153,,texas
2020-07-15,320544,13198,167160,4108,176,,texas
2020-07-16,331392,10848,171192,4261,153,,texas
2020-07-17,341462,10070,174824,4447,186,,texas
2020-07-18,349899,8437,175785,4533,86,,texas
2020-07-19,359120,9221,181586,4598,65,,texas
2020-07-20,367546,8426,184944,4731,133,,texas
2020-07-21,378486,10940,186829,4921,190,,texas
2020-07-22,389618,11132,189152,5151,230,,texas
2020-07-23,399582,9964,190363,5393,242,,texas
2020-07-24,408668,9086,190864,5588,195,,texas
2020-07-25,416892,8224,189640,5742,154,,texas
2020-07-26,421540,4648,186594,5839,97,,texas
2020-07-27,428151,6611,193108,5936,97,,texas
2020-07-28,439817,11666,188874,6121,185,,texas
2020-07-29,449587,9770,191171,6434,313,,texas
2020-07-30,459681,10094,191998,7141,707,,texas
2020-07-31,471419,11738,190803,7425,284,,texas
2020-08-01,478588,7169,188379,7605,180,,texas
2020-08-02,484092,5504,193850,7638,33,,texas
2020-08-03,491540,7448,186324,7794,156,,texas
2020-08-04,503477,11937,189163,8052,258,,texas
2020-08-05,513605,10128,189667,8286,234,,texas
2020-08-06,521837,8232,189485,8548,262,,texas
2020-08-07,530098,8261,189611,8819,271,,texas
2020-08-08,537410,7312,190051,9016,197,,texas
2020-08-09,543676,6266,189718,9113,97,,texas
2020-08-10,550430,6754,191388,9209,96,,texas
2020-08-11,558832,8402,191094,9426,217,,texas
2020-08-12,565487,6655,188462,9671,245,,texas
2020-08-13,573116,7629,187390,9966,295,,texas
2020-08-14,582267,9151,188300,10250,284,,texas
2020-08-15,590754,8487,187041,10447,197,,texas
2020-08-16,593917,3163,183785,10560,113,,texas
2020-08-17,600675,6758,184199,10659,99,,texas
2020-08-18,608924,8249,182148,10873,214,,texas
2020-08-19,615180,6256,176779,11116,243,,texas
2020-08-20,620620,5440,170930,11327,211,,texas
2020-08-21,626654,6034,169430,11553,226,,texas
2020-08-22,630542,3888,167027,11722,169,,texas
2020-08-23,634034,3492,163119,11812,90,,texas
2020-08-24,638746,4712,160550,11871,59,,texas
2020-08-25,645846,7100,159534,12077,206,,texas
2020-08-26,652162,6316,154542,12278,201,,texas
2020-08-27,656815,4653,148747,12499,221,,texas
2020-08-28,662019,5204,148637,12667,168,,texas
2020-08-29,666989,4970,142139,12788,121,,texas
2020-08-30,670050,3061,141112,12855,67,,texas
2020-08-31,673987,3937,139859,12908,53,,texas
2020-09-01,679183,5196,135492,13061,153,,texas
2020-09-02,683933,4750,134543,13244,183,,texas
2020-09-03,687862,3929,130205,13433,189,,texas
2020-09-04,693640,5778,125269,13561,128,,texas
2020-09-05,697698,4058,120886,13696,135,,texas
2020-09-06,700079,2381,120695,13777,81,,texas
2020-09-07,701279,1200,118870,13819,42,,texas
2020-09-08,705289,4010,119433,13895,76,,texas
2020-09-09,710801,5512,118209,14021,126,,texas
2020-09-10,715088,4287,117184,14186,165,,texas
2020-09-11,719781,4693,118824,14332,146,,texas
2020-09-12,722483,2702,118124,14437,105,,texas
2020-09-13,725258,2775,116864,14504,67,,texas
2020-09-14,729930,4672,115315,14569,65,,texas
2020-09-15,734819,4889,113135,14717,148,,texas
2020-09-16,739445,4626,112533,14860,143,,texas
2020-09-17,744269,4824,113313,14958,98,,texas
2020-09-18,748822,4553,113482,15078,120,,texas
2020-09-19,752164,3342,113204,15172,94,,texas
2020-09-20,754311,2147,112553,15206,34,,texas
2020-09-21,757515,3204,113275,15254,48,,texas
2020-09-22,761857,4342,99066,15361,107,,texas
2020-09-23,766302,4445,99263,15491,130,,texas
2020-09-24,770788,4486,97793,15629,138,,texas
2020-09-25,775487,4699,98665,15726,97,,texas
2020-09-26,777740,2253,98506,15826,100,,texas
2020-09-27,779168,1428,92799,15861,35,,texas
2020-09-28,783285,4117,91609,15923,62,,texas
2020-09-29,789323,6038,93778,16023,100,,texas
2020-09-30,792950,3627,93149,16132,109,,texas
2020-10-01,796253,3303,92855,16251,119,,texas
2020-10-02,800410,4157,93186,16345,94,,texas
2020-10-03,803174,2764,91010,16480,135,,texas
2020-10-04,805485,2311,90393,16505,25,,texas
2020-03-12,8,0,7,1,0,,south-dakota
2020-03-13,9,1,8,1,0,,south-dakota
2020-03-14,9,0,8,1,0,,south-dakota
2020-03-15,9,0,8,1,0,,south-dakota
2020-03-16,10,1,9,1,0,,south-dakota
2020-03-17,11,1,10,1,0,,south-dakota
2020-03-18,11,0,10,1,0,,south-dakota
2020-03-19,11,0,10,1,0,,south-dakota
2020-03-20,14,3,13,1,0,,south-dakota
2020-03-21,14,0,13,1,0,,south-dakota
2020-03-22,21,7,20,1,0,,south-dakota
2020-03-23,28,7,21,1,0,,south-dakota
2020-03-24,30,2,21,1,0,,south-dakota
2020-03-25,41,11,27,1,0,,south-dakota
2020-03-26,46,5,32,1,0,,south-dakota
2020-03-27,58,12,36,1,0,,south-dakota
2020-03-28,68,10,41,1,0,,south-dakota
2020-03-29,90,22,60,1,0,,south-dakota
2020-03-30,101,11,66,1,0,,south-dakota
2020-03-31,108,7,73,1,0,,south-dakota
2020-04-01,129,21,76,2,1,,south-dakota
2020-04-02,165,36,106,2,0,,south-dakota
2020-04-03,187,22,117,2,0,,south-dakota
2020-04-04,212,25,134,2,0,,south-dakota
2020-04-05,240,28,152,4,2,,south-dakota
2020-04-06,288,48,193,4,0,,south-dakota
2020-04-07,320,32,216,6,2,,south-dakota
2020-04-08,393,73,241,6,0,,south-dakota
2020-04-09,447,54,280,6,0,,south-dakota
2020-04-10,536,89,353,6,0,,south-dakota
2020-04-11,626,90,431,6,0,,south-dakota
2020-04-12,730,104,528,6,0,,south-dakota
2020-04-13,868,138,655,6,0,,south-dakota
2020-04-14,988,120,721,6,0,,south-dakota
2020-04-15,1168,180,833,6,0,,south-dakota
2020-04-16,1311,143,931,7,1,,south-dakota
2020-04-17,1411,100,947,7,0,,south-dakota
2020-04-18,1542,131,983,7,0,,south-dakota
2020-04-19,1635,93,1076,7,0,,south-dakota
2020-04-20,1685,50,969,7,0,,south-dakota
2020-04-21,1755,70,923,8,1,,south-dakota
2020-04-22,1858,103,912,9,1,,south-dakota
2020-04-23,1956,98,883,9,0,,south-dakota
2020-04-24,2040,84,840,10,1,,south-dakota
2020-04-25,2147,107,947,10,0,,south-dakota
2020-04-26,2212,65,1011,11,1,,south-dakota
2020-04-27,2245,33,918,11,0,,south-dakota
2020-04-28,2313,68,910,11,0,,south-dakota
2020-04-29,2373,60,868,13,2,,south-dakota
2020-04-30,2449,76,859,17,4,,south-dakota
2020-05-01,2525,76,818,21,4,,south-dakota
2020-05-02,2588,63,808,21,0,,south-dakota
2020-05-03,2631,43,811,21,0,,south-dakota
2020-05-04,2668,37,817,21,0,,south-dakota
2020-05-05,2721,53,802,24,3,,south-dakota
2020-05-06,2779,58,773,29,5,,south-dakota
2020-05-07,2905,126,846,31,2,,south-dakota
2020-05-08,3144,239,1044,31,0,,south-dakota
2020-05-09,3393,249,1234,34,3,,south-dakota
2020-05-10,3393,0,1234,34,0,,south-dakota
2020-05-11,3517,124,1296,34,0,,south-dakota
2020-05-12,3663,146,1315,39,5,,south-dakota
2020-05-13,3732,69,1326,39,0,,south-dakota
2020-05-14,3792,60,1312,43,4,,south-dakota
2020-05-15,3887,95,1269,44,1,,south-dakota
2020-05-16,3959,72,1242,44,0,,south-dakota
2020-05-17,3987,28,1270,44,0,,south-dakota
2020-05-18,4027,40,1199,44,0,,south-dakota
2020-05-19,4085,58,1255,46,2,,south-dakota
2020-05-20,4177,92,1108,46,0,,south-dakota
2020-05-21,4250,73,1057,48,2,,south-dakota
2020-05-22,4356,106,1039,50,2,,south-dakota
2020-05-23,4468,112,1082,50,0,,south-dakota
2020-05-24,4563,95,1142,50,0,,south-dakota
2020-05-25,4586,23,1121,50,0,,south-dakota
2020-05-26,4653,67,1075,50,0,,south-dakota
2020-05-27,4710,57,1037,54,4,,south-dakota
2020-05-28,4793,83,1041,54,0,,south-dakota
2020-05-29,4866,73,1063,59,5,,south-dakota
2020-05-30,4960,94,1093,62,3,,south-dakota
2020-05-31,4993,33,1094,62,0,,south-dakota
2020-06-01,5034,41,1135,62,0,,south-dakota
2020-06-02,5067,33,1015,62,0,,south-dakota
2020-06-03,5162,95,1016,62,0,,south-dakota
2020-06-04,5247,85,1099,64,2,,south-dakota
2020-06-05,5277,30,1033,65,1,,south-dakota
2020-06-06,5367,90,1123,65,0,,south-dakota
2020-06-07,5438,71,1038,65,0,,south-dakota
2020-06-08,5471,33,1071,65,0,,south-dakota
2020-06-09,5523,52,972,68,3,,south-dakota
2020-06-10,5604,81,962,69,1,,south-dakota
2020-06-11,5665,61,1019,73,4,,south-dakota
2020-06-12,5742,77,1095,74,1,,south-dakota
2020-06-13,5833,91,930,75,1,,south-dakota
2020-06-14,5898,65,924,75,0,,south-dakota
2020-06-15,5928,30,954,75,0,,south-dakota
2020-06-16,5966,38,820,77,2,,south-dakota
2020-06-17,6050,84,903,78,1,,south-dakota
2020-06-18,6109,59,962,78,0,,south-dakota
2020-06-19,6158,49,801,81,3,,south-dakota
2020-06-20,6225,67,809,81,0,,south-dakota
2020-06-21,6297,72,881,81,0,,south-dakota
2020-06-22,6326,29,808,81,0,,south-dakota
2020-06-23,6353,27,773,83,2,,south-dakota
2020-06-24,6419,66,781,84,1,,south-dakota
2020-06-25,6479,60,800,87,3,,south-dakota
2020-06-26,6535,56,795,88,1,,south-dakota
2020-06-27,6626,91,818,91,3,,south-dakota
2020-06-28,6681,55,838,91,0,,south-dakota
2020-06-29,6716,35,807,91,0,,south-dakota
2020-06-30,6764,48,801,91,0,,south-dakota
2020-07-01,6826,62,800,93,2,,south-dakota
2020-07-02,6893,67,814,97,4,,south-dakota
2020-07-03,6978,85,832,97,0,,south-dakota
2020-07-04,7028,50,869,97,0,,south-dakota
2020-07-05,7063,35,903,97,0,,south-dakota
2020-07-06,7105,42,945,97,0,,south-dakota
2020-07-07,7163,58,875,98,1,,south-dakota
2020-07-08,7242,79,864,98,0,,south-dakota
2020-07-09,7336,94,904,101,3,,south-dakota
2020-07-10,7401,65,886,107,6,,south-dakota
2020-07-11,7454,53,875,109,2,,south-dakota
2020-07-12,7499,45,868,109,0,,south-dakota
2020-07-13,7524,25,872,109,0,,south-dakota
2020-07-14,7572,48,864,109,0,,south-dakota
2020-07-15,7652,80,878,111,2,,south-dakota
2020-07-16,7694,42,842,115,4,,south-dakota
2020-07-17,7789,95,865,116,1,,south-dakota
2020-07-18,7862,73,855,116,0,,south-dakota
2020-07-19,7906,44,836,118,2,,south-dakota
2020-07-20,7943,37,829,118,0,,south-dakota
2020-07-21,8019,76,820,118,0,,south-dakota
2020-07-22,8077,58,799,119,1,,south-dakota
2020-07-23,8143,66,808,121,2,,south-dakota
2020-07-24,8200,57,817,122,1,,south-dakota
2020-07-25,8305,105,876,122,0,,south-dakota
2020-07-26,8395,90,908,123,1,,south-dakota
2020-07-27,8444,49,917,123,0,,south-dakota
2020-07-28,8492,48,895,123,0,,south-dakota
2020-07-29,8641,149,903,129,6,,south-dakota
2020-07-30,8685,44,866,129,0,,south-dakota
2020-07-31,8764,79,873,130,1,,south-dakota
2020-08-01,8867,103,913,134,4,,south-dakota
2020-08-02,8955,88,911,135,1,,south-dakota
2020-08-03,9020,65,946,135,0,,south-dakota
2020-08-04,9079,59,935,136,1,,south-dakota
2020-08-05,9168,89,951,137,1,,south-dakota
2020-08-06,9273,105,987,141,4,,south-dakota
2020-08-07,9371,98,983,144,3,,south-dakota
2020-08-08,9477,106,1024,146,2,,south-dakota
2020-08-09,9605,128,1125,146,0,,south-dakota
2020-08-10,9663,58,1146,146,0,,south-dakota
2020-08-11,9713,50,1060,146,0,,south-dakota
2020-08-12,9815,102,1062,147,1,,south-dakota
2020-08-13,9897,82,1058,148,1,,south-dakota
2020-08-14,10024,127,1101,150,2,,south-dakota
2020-08-15,10118,94,1082,152,2,,south-dakota
2020-08-16,10274,156,1182,153,1,,south-dakota
2020-08-17,10360,86,1194,153,0,,south-dakota
2020-08-18,10443,83,1163,154,1,,south-dakota
2020-08-19,10566,123,1222,155,1,,south-dakota
2020-08-20,10691,125,1269,157,2,,south-dakota
2020-08-21,10884,193,1376,159,2,,south-dakota
2020-08-22,11135,251,1540,160,1,,south-dakota
2020-08-23,11276,141,1551,161,1,,south-dakota
2020-08-24,11425,149,1570,161,0,,south-dakota
2020-08-25,11559,134,1584,161,0,,south-dakota
2020-08-26,11851,292,1793,162,1,,south-dakota
2020-08-27,12194,343,2000,162,0,,south-dakota
2020-08-28,12517,323,2182,165,3,,south-dakota
2020-08-29,12942,425,2428,167,2,,south-dakota
2020-08-30,13322,380,2644,167,0,,south-dakota
2020-08-31,13509,187,2730,167,0,,south-dakota
2020-09-01,13749,240,2750,167,0,,south-dakota
2020-09-02,14003,254,2875,169,2,,south-dakota
2020-09-03,14337,334,3013,169,0,,south-dakota
2020-09-04,14596,259,3032,170,1,,south-dakota
2020-09-05,14889,293,3057,173,3,,south-dakota
2020-09-06,15109,220,3018,173,0,,south-dakota
2020-09-07,15300,191,2892,173,0,,south-dakota
2020-09-08,15403,103,2679,173,0,,south-dakota
2020-09-09,15571,168,2434,173,0,,south-dakota
2020-09-10,15834,263,2456,177,4,,south-dakota
2020-09-11,16117,283,2515,177,0,,south-dakota
2020-09-12,16437,320,2515,183,6,,south-dakota
2020-09-13,16638,201,2461,184,1,,south-dakota
2020-09-14,16801,163,2499,184,0,,south-dakota
2020-09-15,16994,193,2386,184,0,,south-dakota
2020-09-16,17291,297,2442,192,8,,south-dakota
2020-09-17,17686,395,2615,193,1,,south-dakota
2020-09-18,18075,389,2809,198,5,,south-dakota
2020-09-19,18444,369,2946,200,2,,south-dakota
2020-09-20,18696,252,2843,202,2,,south-dakota
2020-09-21,18869,173,2890,202,0,,south-dakota
2020-09-22,19189,320,2817,202,0,,south-dakota
2020-09-23,19634,445,3108,202,0,,south-dakota
2020-09-24,20097,463,3291,210,8,,south-dakota
2020-09-25,20554,457,3507,216,6,,south-dakota
2020-09-26,21133,579,3742,218,2,,south-dakota
2020-09-27,21541,408,3790,218,0,,south-dakota
2020-09-28,21738,197,3828,218,0,,south-dakota
2020-09-29,21997,259,3684,223,5,,south-dakota
2020-09-30,22389,392,3658,223,0,,south-dakota
2020-10-01,23136,747,3832,236,13,,south-dakota
2020-10-02,23522,386,3987,237,1,,south-dakota
2020-10-03,23986,464,4112,248,11,,south-dakota
2020-10-04,24418,432,4268,248,0,,south-dakota
2020-03-12,237,0,231,4,0,,california
2020-03-13,282,45,276,4,0,,california
2020-03-14,359,77,348,5,1,,california
2020-03-15,426,67,414,6,1,,california
2020-03-16,559,133,546,7,1,,california
2020-03-17,710,151,692,12,5,,california
2020-03-18,852,142,830,16,4,,california
2020-03-19,1014,162,989,19,3,,california
2020-03-20,1213,199,1184,23,4,,california
2020-03-21,1398,185,1368,24,1,,california
2020-03-22,1764,366,1724,34,10,,california
2020-03-23,2144,380,2098,40,6,,california
2020-03-24,2579,435,2520,51,11,,california
2020-03-25,3013,434,2940,65,14,,california
2020-03-26,4034,1021,3940,82,17,,california
2020-03-27,4813,779,4701,94,12,,california
2020-03-28,5574,761,5434,119,25,,california
2020-03-29,6232,658,6080,131,12,,california
2020-03-30,7281,1049,7076,145,14,,california
2020-03-31,8542,1261,7512,180,35,,california
2020-04-01,9851,1309,8791,210,30,,california
2020-04-02,10886,1035,9802,234,24,,california
2020-04-03,12321,1435,11196,275,41,,california
2020-04-04,13709,1388,12490,319,44,,california
2020-04-05,15103,1394,13856,347,28,,california
2020-04-06,16089,986,14809,380,33,,california
2020-04-07,17536,1447,16202,434,54,,california
2020-04-08,18912,1376,17474,498,64,,california
2020-04-09,20058,1146,18559,559,61,,california
2020-04-10,21165,1107,19641,584,25,,california
2020-04-11,22270,1105,20700,630,46,,california
2020-04-12,23278,1008,21664,674,44,,california
2020-04-13,24244,966,22577,727,53,,california
2020-04-14,25647,1403,23925,782,55,,california
2020-04-15,26955,1308,24741,864,82,,california
2020-04-16,27754,799,25453,951,87,,california
2020-04-17,29302,1548,26911,1041,90,,california
2020-04-18,30852,1550,28355,1147,106,,california
2020-04-19,31567,715,29042,1175,28,,california
2020-04-20,33833,2266,31260,1223,48,,california
2020-04-21,35799,1966,31164,1298,75,,california
2020-04-22,37506,1707,32750,1419,121,,california
2020-04-23,39459,1953,34599,1523,104,,california
2020-04-24,40990,1531,36059,1594,71,,california
2020-04-25,42536,1546,37513,1686,92,,california
2020-04-26,43731,1195,38676,1718,32,,california
2020-04-27,45202,1471,40089,1776,58,,california
2020-04-28,46364,1162,41165,1862,86,,california
2020-04-29,48776,2412,43500,1939,77,,california
2020-04-30,50347,1571,44981,2029,90,,california
2020-05-01,52000,1653,46552,2111,82,,california
2020-05-02,53839,1839,47743,2188,77,,california
2020-05-03,55097,1258,48977,2212,24,,california
2020-05-04,56332,1235,46501,2283,71,,california
2020-05-05,58879,2547,48395,2376,93,,california
2020-05-06,60766,1887,49110,2452,76,,california
2020-05-07,62520,1754,50258,2535,83,,california
2020-05-08,64385,1865,51770,2627,92,,california
2020-05-09,66976,2591,53933,2691,64,,california
2020-05-10,68211,1235,54514,2717,26,,california
2020-05-11,69503,1292,55597,2778,61,,california
2020-05-12,71246,1743,56682,2876,98,,california
2020-05-13,73222,1976,58150,2966,90,,california
2020-05-14,75110,1888,59467,3048,82,,california
2020-05-15,77153,2043,61086,3153,105,,california
2020-05-16,79027,1874,62768,3208,55,,california
2020-05-17,80614,1587,64219,3289,81,,california
2020-05-18,82066,1452,63998,3321,32,,california
2020-05-19,84168,2102,65722,3425,104,,california
2020-05-20,86258,2090,67544,3512,87,,california
2020-05-21,88584,2326,68859,3619,107,,california
2020-05-22,90981,2397,70283,3688,69,,california
2020-05-23,92936,1955,72047,3759,71,,california
2020-05-24,94895,1959,73847,3790,31,,california
2020-05-25,97287,2392,75012,3809,19,,california
2020-05-26,100208,2921,75516,3852,43,,california
2020-05-27,101995,1787,76116,3955,103,,california
2020-05-28,104247,2252,77668,4039,84,,california
2020-05-29,107207,2960,79772,4137,98,,california
2020-05-30,110360,3153,82532,4213,76,,california
2020-05-31,113073,2713,85065,4240,27,,california
2020-06-01,115619,2546,86921,4287,47,,california
2020-06-02,118474,2855,89184,4360,73,,california
2020-06-03,120782,2308,90867,4421,61,,california
2020-06-04,123341,2559,89164,4484,63,,california
2020-06-05,126957,3616,90407,4558,74,,california
2020-06-06,129507,2550,92484,4624,66,,california
2020-06-07,132282,2775,94999,4653,29,,california
2020-06-08,134571,2289,95975,4676,23,,california
2020-06-09,137629,3058,97686,4772,96,,california
2020-06-10,140539,2910,98601,4870,98,,california
2020-06-11,144129,3590,100520,4941,71,,california
2020-06-12,147772,3643,103102,4988,47,,california
2020-06-13,150921,3149,105586,5062,74,,california
2020-06-14,153547,2626,107913,5089,27,,california
2020-06-15,156278,2731,108980,5119,30,,california
2020-06-16,159733,3455,111399,5205,86,,california
2020-06-17,163930,4197,114051,5286,81,,california
2020-06-18,167733,3803,116649,5362,76,,california
2020-06-19,171357,3624,118967,5427,65,,california
2020-06-20,175739,4382,122273,5494,67,,california
2020-06-21,179344,3605,125448,5518,24,,california
2020-06-22,184896,5552,129920,5566,48,,california
2020-06-23,191427,6531,134364,5635,69,,california
2020-06-24,196415,4988,137687,5732,97,,california
2020-06-25,201879,5464,141729,5813,81,,california
2020-06-26,207522,5643,144537,5877,64,,california
2020-06-27,211766,4244,148253,5910,33,,california
2020-06-28,217029,5263,153001,5942,32,,california
2020-06-29,223955,6926,158250,5984,42,,california
2020-06-30,231894,7939,162143,6089,105,,california
2020-07-01,239655,7761,167951,6173,84,,california
2020-07-02,249094,9439,175698,6272,99,,california
2020-07-03,257610,8516,181951,6335,63,,california
2020-07-04,265965,8355,189770,6364,29,,california
2020-07-05,271992,6027,195242,6383,19,,california
2020-07-06,278883,6891,199094,6460,77,,california
2020-07-07,287514,8631,203690,6579,119,,california
2020-07-08,296075,8561,209754,6730,151,,california
2020-07-09,303323,7248,214838,6868,138,,california
2020-07-10,312104,8781,220715,6971,103,,california
2020-07-11,319985,7881,227382,7046,75,,california
2020-07-12,327687,7702,234328,7072,26,,california
2020-07-13,336037,8350,239807,7118,46,,california
2020-07-14,345598,9561,246843,7257,139,,california
2020-07-15,355285,9687,252745,7383,126,,california
2020-07-16,364554,9269,259832,7511,128,,california
2020-07-17,374162,9608,264968,7633,122,,california
2020-07-18,382968,8806,271352,7725,92,,california
2020-07-19,391084,8116,278607,7737,12,,california
2020-07-20,399898,8814,282657,7794,57,,california
2020-07-21,410176,10278,289290,7914,120,,california
2020-07-22,422313,12137,287712,8070,156,,california
2020-07-23,432789,10476,293386,8227,157,,california
2020-07-24,443811,11022,298576,8362,135,,california
2020-07-25,454796,10985,307105,8453,91,,california
2020-07-26,461245,6449,311554,8480,27,,california
2020-07-27,468875,7630,313567,8573,93,,california
2020-07-28,476869,7994,316237,8742,169,,california
2020-07-29,485857,8988,318207,8917,175,,california
2020-07-30,494031,8174,316588,9031,114,,california
2020-07-31,501909,7878,318948,9222,191,,california
2020-08-01,509291,7382,324246,9359,137,,california
2020-08-02,515686,6395,328825,9397,38,,california
2020-08-03,522030,6344,322754,9506,109,,california
2020-08-04,527186,5156,322650,9703,197,,california
2020-08-05,532745,5559,322764,9872,169,,california
2020-08-06,541250,8505,325458,10021,149,,california
2020-08-07,549154,7904,326355,10209,188,,california
2020-08-08,556185,7031,330839,10313,104,,california
2020-08-09,563021,6836,335922,10380,67,,california
2020-08-10,573773,10752,339971,10468,88,,california
2020-08-11,585718,11945,345199,10650,182,,california
2020-08-12,594808,9090,346087,10810,160,,california
2020-08-13,602684,7876,348654,10996,186,,california
2020-08-14,613000,10316,354833,11148,152,,california
